Unnamed: 0	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
27	高匿代理服务	103.9.134.254:65301	中国 四川 凉山 联通	HTTPS代理	5.88	178天 12小时 52分钟 17秒	22453	2019年5月28日 01:07
28	高匿代理服务	46.0.16.179:53281	中国 辽宁 大连 联通	HTTP,HTTPS代理	4.22	1天 2小时 44分钟 59秒	642	2019年5月28日 01:07
29	高匿代理服务	217.182.120.162:1080	中国 河南 南阳 移动	HTTP,HTTPS代理	4.3	178天 12小时 55分钟 19秒	53454	2019年5月28日 01:07
30	高匿代理服务	117.6.255.171:40834	中国 贵州 遵义 移动	HTTP,HTTPS代理	3.61	67天 13小时 13分钟 15秒	5256	2019年5月28日 01:07
31	高匿代理服务	182.23.12.50:8080	中国 北京 北京 青云QingCloud/联通	HTTP,HTTPS代理	5.43	179天 9小时 13分钟 57秒	50913	2019年5月28日 01:07
32	高匿代理服务	181.143.221.76:53281	中国 河北 邢台 联通	HTTP,HTTPS代理	4.53	178天 12小时 55分钟 4秒	43584	2019年5月28日 01:07
33	高匿代理服务	218.60.8.98:3129	中国 辽宁 沈阳 联通	HTTP,HTTPS代理	1.18	272天 5小时 17分钟 58秒	528240	2019年5月28日 01:07
34	高匿代理服务	181.56.162.189:57970	中国 四川 资阳 联通	HTTP代理	4.32	13天 14小时 22分钟 27秒	3239	2019年5月28日 01:07
35	高匿代理服务	62.213.87.188:8080	中国 广东 湛江 电信	HTTPS代理	4.01	178天 12小时 54分钟 51秒	20410	2019年5月28日 01:07
36	高匿代理服务	184.82.106.119:8080	中国 陕西 西安 铁通	HTTP,HTTPS代理	4.18	4天 17小时 32分钟 28秒	2588	2019年5月28日 01:07
37	高匿代理服务	116.212.157.226:8080	中国 台湾  Google	HTTP,HTTPS代理	4.31	94天 8小时 0分钟 58秒	13398	2019年5月28日 01:07
38	高匿代理服务	125.26.7.141:46478	中国 江西 九江 电信	HTTP,HTTPS代理	3.71	116天 6小时 26分钟 43秒	31431	2019年5月28日 01:07
39	高匿代理服务	77.66.203.114:33097	中国 安徽 铜陵 铁通	HTTP,HTTPS代理	5.58	173天 23小时 16分钟 46秒	62233	2019年5月28日 01:07
